step,agent_id,pos_x,pos_y,angle,is_carrying,w_food,w_nest,w_rand,w_info,k_diff,lambda_pick,lambda_drop,left_speed,right_speed,nest_x,nest_y,pickup_event,delivery_event,is_colliding,is_alive,target_0_x,target_0_y,target_0_cap,target_1_x,target_1_y,target_1_cap,target_2_x,target_2_y,target_2_cap
4,4,0.010832671,-0.8647993,-3.0650592,0,0.013858910650014877,0.007966766133904457,0.09570256620645523,0.012471741996705532,0.00526096997782588,0.44234728813171387,0.2980915904045105,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
4,5,0.9162087,0.07579563,-1.8142463,0,0.0023890153970569372,0.0,0.12494511157274246,0.002665873384103179,0.01831529289484024,0.43690937757492065,0.2896060347557068,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
4,6,-1.4826725,-0.75362974,-1.8052025,0,0.09436659514904022,0.0,0.0,0.035633403807878494,0.02020331099629402,0.7251518964767456,0.32115429639816284,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
4,7,-1.6392951,-0.7267978,2.4173737,0,0.09361898899078369,0.0,0.0,0.03638099879026413,0.019393546506762505,0.7116057872772217,0.2429187297821045,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
4,8,-1.0469971,0.09927544,-3.0967326,0,0.022504867985844612,0.0,0.0,0.10749512165784836,0.018830541521310806,0.7033568620681763,0.37494486570358276,0.0,0.0,0.0,0.0,0,0,1,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
4,9,-1.1669736,0.3545383,0.93934464,1,0.0,0.08286665380001068,0.04713334143161774,0.0,0.03263406828045845,0.5471950769424438,0.37656065821647644,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
4,10,0.18748441,0.91806424,-1.1424884,0,0.0,0.005043480545282364,0.12334277480840683,0.0016137385973706841,0.015495852567255497,0.3932856321334839,0.26527369022369385,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
4,11,-1.9303715,0.3268588,-1.856052,0,0.015102498233318329,0.00045954008237458766,0.10051161050796509,0.013926356099545956,0.017635885626077652,0.3642617464065552,0.2092703878879547,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
4,12,0.75193655,-0.15054297,-2.6305275,0,0.0008602156885899603,0.0,0.12467381358146667,0.004465959966182709,0.019960856065154076,0.4264373481273651,0.2893173396587372,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
4,13,0.6045164,-0.84315985,2.4007068,0,0.0012025712057948112,0.00657346798107028,0.11741659790277481,0.0048073576763272285,0.007760465610772371,0.4143008291721344,0.24458324909210205,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
4,14,-1.6216197,0.20960476,-0.89964044,0,0.09489521384239197,0.0,0.0,0.03510478511452675,0.02455340139567852,0.7079942226409912,0.2467753291130066,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
4,15,1.3902911,-0.15306248,-0.8852375,0,0.1195613294839859,0.0,0.0,0.010438662022352219,0.043804626911878586,0.8288872241973877,0.3572728633880615,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
4,16,-1.7965126,-0.48822317,2.5814505,0,0.02282046154141426,0.0,0.09811810404062271,0.009061428718268871,0.023883633315563202,0.3993803858757019,0.2505228519439697,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
4,17,1.2406926,0.43745625,-0.9051018,0,0.01972953975200653,0.0,0.10428327322006226,0.00598717387765646,0.01939895562827587,0.41572093963623047,0.2696231007575989,0.0,0.0,0.0,0.0,0,0,0,1,-1.25,-0.5,5.0,-1.25,0.5,4.75,1.25,-0.5,5.0
